name,ra,dec,z,+/-
NGC 0298,13.75979167,-7.333083333,0.00584700005,9.99999975e-06
NGC 0300,13.72283333,-37.68438889,0.000479999988,3.00000011e-06
NGC 0301,14.07645424,-10.67387604,0.0226670001,6.39999998e-05
NGC 0303,13.72795833,-16.65461111,0.0324890018,0.000150000007
NGC 0304,14.02508333,24.12688889,0.0166480001,0.000102999998
NGC 0307,14.13575,-1.771944444,0.0133760003,7.30000029e-05
NGC 0309,14.1777521,-9.913865985,0.0188859999,1.70000003e-05
NGC 0311,14.386375,30.28075,0.0168949999,4.70000014e-05
NGC 0312,14.066375,-52.78269444,0.0266120005,5.70000011e-05
NGC 0314,14.218375,-31.96297222,0.0187299997,0.000127000007
NGC 0315,14.45368042,30.35244778,0.016485,1.99999995e-05
NGC 0318,14.52181098,30.42552233,0.0177020002,9.30000024e-05
NGC 0319,14.24,-43.83877778,0.0231589992,0.000150000007
NGC 0320,14.693875,-20.84008333,0.0183789991,9.99999975e-05
NGC 0321,14.41344565,-5.086185859,0.0161610004,0.000150000007
NGC 0322,14.29170833,-43.72708333,0.0237700008,0.000102999998
NGC 0323,14.17354167,-52.97591667,0.0259479992,0.000102999998
NGC 0324,14.31158333,-40.95911111,0.0115149999,3.9999999e-05
NGC 0325,14.44945833,-5.112083333,0.0183029994,1.29999999e-05
NGC 0327,14.48066667,-5.130416667,0.0182390008,3.30000003e-05
NGC 0328,14.239875,-52.92391667,0.0244939998,9.69999965e-05
NGC 0329,14.50666667,-5.071222222,0.0175689999,3.30000003e-05
NGC 0331,11.77857022,-2.731145792,0.0238129999,1.29999999e-05
NGC 0332,14.70470833,7.111305556,0.0174289998,9.30000024e-05
NGC 0334,14.70754167,-35.11602778,0.0307209995,3.30000003e-05
NGC 0335,14.83241667,-18.23466667,0.0190030001,3.30000003e-05
NGC 0336,14.51179167,-18.38433333,0.0183489993,0.000150000007
NGC 0337,14.95870833,-7.577972222,0.00549,7e-06
NGC 0338,15.15170833,30.66897222,0.0159380008,2.30000005e-05
NGC 0340,15.14533333,-6.866583333,0.0203719996,2.49999994e-05
NGC 0341,15.19095208,-9.185705891,0.0151869999,1.29999999e-05
NGC 0342,15.20774064,-6.772567101,0.0194029994,9.00000014e-05
NGC 0344,14.600125,-23.22488889,,
